name,line
Mel0n,i did not know of that shortcut
Con,tanky cats ❤
Almond™ of the day.,"He's just going to kiss you on the forehead and say""it's ok"""
giannakisftw,"I want to find her bf , hug him and tell him that he is not alone in this world"
giannakisftw,so... u like the idea?
Kahlan,kay
Kahlan,just using corona to give even more stupid short deadlines
giannakisftw,no thx... imaste kala xD
Nodtriel,https://www.youtube.com/watch?v=D0-JbxX209g
Mel0n,"white walls, plain off white/gray tiles maybe with a bit of marble effect done an dusted"
Turok,In
Mel0n,con we go together tonight?
Mel0n,🔪
Con,also poor pappoullis roullis
Mel0n,https://tenor.com/view/anime-tsundere-gif-8657468
Mel0n,nu
Mel0n,to calm this
Mel0n,*he's afraid to ask*
Meldanen ( ͡° ͜ʖ ͡°),@G Xoxo🌷:)  It's a sound
giannakisftw,"no, its old content"
milkypaws,"i might show the ridiculous ones, if i try any of them on"
Con,so they won't make more if you kill them? 😢
Mel0n,burgurs
giannakisftw,"its super rare and its gonna give me lot of gold. its also low lvl item, but its the best in slot for f2p"
Nodtriel,^
Nodtriel,No doubt some idiot who doesn't look carefully before turning
Kahlan,👍🏽
giannakisftw,i mean i would recommend it 😛 i didnt pay! xD ( used to have an ipod and hacked it xD
Con,https://www.youtube.com/watch?v=IYn1DnU1zrY&feature=youtu.be&fbclid=IwAR0uA7DN3knUGSPEBpjYumDm7650ME6pQyhb6KD-FWaltgGoex2cxGbCbAI
Kahlan,They had to due to
Almond™ of the day.,***BOOOOOOOOOOOOOOOOOOOOORED***
Kahlan,<:eqeqeq:534427246488977418>
Con,magic the CAThering
Kahlan,Who's PC have you been playing WoW on all this time?
Meldanen ( ͡° ͜ʖ ͡°),oh right
Meldanen ( ͡° ͜ʖ ͡°),yes you then cry tears of joy
Nodtriel,copycat
Kahlan,texture mods and small things
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=agznB6XKeCs
Nodtriel,"maybe a channel called ""spam""?"
Mel0n,https://zenpop.jp/
giannakisftw,that was my initial i dea. did i do something wrong on my search? - thats why i asked u
Con,The answer is Queen Victoria
giannakisftw,bra has party today
giannakisftw,this game was really nice!!!!
Meldanen ( ͡° ͜ʖ ͡°),but yes
Turok,But we all know you don't get dicks
Kahlan,"nah, announcing it makes it less creepy,"
giannakisftw,y
Con,But al least I still have some lahmatzoun
Con,i tried playing it long ago but got bored of it very fast
Mel0n,jesus take the wheel
Kahlan,then fake accounts copying him started showing all over the place
Nodtriel,"I used to write my surname as Μπάρνεττ (even though it was written differently on my ID) but they used to pronnounce the M all the time 
So I started writing it the same way you write πόλεμος, παρέα, πέρυσι etc"
