name,line
giannakisftw,b'https://media.discordapp.net/attachments/380135384564105227/647888368377659402/IMG_20191123_201307.jpg?width=884&height=663'
giannakisftw,b'<:sadness:534426569406545921>'
giannakisftw,"b'It was me , but my issue wasnt the shadow'"
giannakisftw,"b'en athimoumoun an ton ekaman rework, i to character model tou etc... xD'"
giannakisftw,"b'obiously she is refering about the decoartion style, but i cant stop tihnkinh of her referiing to a specific rock'"
giannakisftw,b'https://www.youtube.com/watch?v=TzoW_GO45vk'
giannakisftw,"b""https://www.youtube.com/watch?v=mfPCFQfOnLg found this random video. it feels like a boomer heard about rpg's and he is trying to make a documentary series based on it"""
giannakisftw,b'spider and web ??????????????????????????????????????????????????????????????????????????????????????????????????????????????'
giannakisftw,b'so fucking annoying....'
giannakisftw,"b'But do they have suppository-shaped benches at their squares? No, i didnt though  so.'"
giannakisftw,b'jordan jackson'
giannakisftw,"b'@everyone  I WELLCOME EVERY ONE, TO THE BRAND NEW GAME. WORDS-WITH-GLEN!!!!!! WITH YOUR BELOVED HOST, THE 1 AND ONLY, GLEN!!!!\n\nSO WHAT IS THIS GAME ALL ABOUT? EACH PLAYER GUESS A LETTER, OR THE WHOLE PHRACE, IF HE GETS IT RIGHT. HE GETS POINT. IF HE GETS IT WRONG HE LOSE A POINT! AT THE END OF THIS GAME, THE PLAYER WITH THE MOST POINTS, WINS A REWARD!!!!!!! ( yes , no joking! ) A FABULUS, GLEN- SNACK-BUNDLE!!!!!!! \n\nANY ONE WHO WANTS TO PARTICIPATE HAS TO REACT WITH THUMPS UP ON THIS POST\nRULES: THE SAID PLAYER CHOOSES CATEGORY AND DIFICULTY. \nEASY: +10 POINTS FOR EACH CORRECT LETTER/ -10 POINTS FOR WRONG ONES. GUESSING THE WHOLE PHRACE, ITS X10 THE SCORE. ( +100 FOR CORRECT /-100 FOR WRONG )\nLIKEWISE, FOR MEDIUM ITS 20 POINTS, AND HARD IS 50 POINTS'"
giannakisftw,"b'I just received email from kickstarted. \n* bla bla bla sorry for the inconviniance but the delivery  day will be delayd *\nMe: sure xalara, i can w8 a bit more ^^. 1 week? 2? 3? A month? :3\nKickstarter: due to bla bla bla the new estimated delivery day will be in July \nMe: THE FUCK DID U JUST U MOTHER F.......'"
giannakisftw,b'I am looking for 1 xD'
giannakisftw,b'some of htem trolling'
giannakisftw,"b'yes, zoro and sanji are cool characters indeed'"
giannakisftw,"b'no nono, i said, 1 of the ppl trolling the woman asking for rocks posted that box as an asnwer to her question'"
giannakisftw,b'or is it (g)old'
giannakisftw,b'rofl!'
giannakisftw,b'<@!319171521354530818>'
giannakisftw,b'https://www.bazaraki.com/adv/2222046_diamerisma/?utm_source=facebook&utm_medium=cpc&utm_campaign=xml_real_estate_feed&fbclid=IwAR1lqA8YE724_WWsk7Ue14B1A0RG94pK-OI5sA13tjNTCdwc2Hvt9RRuDsY'
giannakisftw,b'its a crossover con... gosh...'
giannakisftw,b'https://youtu.be/OqMs9WsJg2k?list=PLJZH8sevmMq4kBcfUJmmkXVJ0jX-bS8Nw&t=118'
giannakisftw,b'xD'
giannakisftw,"b'1 of them posted the other post, witht he ps4 seller that only had rocks inside the box'"
